Age report
1 October 2025 - 31 December 2025
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,65+,S | Brand | NL,Brand,Campaign paused, --,EUR,427.50,40,14,35.00%,1.22,17.10,7.14%,1.00,17.10
Enabled,45 - 54,S | Brand | NL,Brand,Campaign paused, --,EUR,109.61,330,120,36.36%,0.30,36.17,16.67%,20.00,1.81
Enabled,25 - 34,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | Competitors | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | Competitors | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | Competitors | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Competitors | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | Brand | NL,Brand,Campaign paused, --,EUR,133.99,561,221,39.39%,0.34,75.17,17.19%,38.00,1.98
Enabled,55 - 64,S | Competitors | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | Competitors | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | Competitors | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | Competitors | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | Competitors | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | Competitors | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | Competitors | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | Competitors | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Competitors | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
