Location report
1 January 2026 - 26 March 2026
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Greece,S | General | EU | EN, --,EUR,38.12,"1,399",56,4.00%,0.95,53.33,0.00%,0.00,0.00
Portugal,S | General | EU | EN, --,EUR,49.46,693,36,5.19%,0.95,34.27,2.78%,1.00,34.27
Latvia,S | General | EU | EN, --,EUR,57.64,331,22,6.65%,0.87,19.08,0.00%,0.00,0.00
Spain,S | General | EU | EN, --,EUR,98.27,467,30,6.42%,1.53,45.89,3.33%,1.00,45.89
Serbia,S | General | EU | EN, --,EUR,25.49,322,17,5.28%,0.48,8.21,0.00%,0.00,0.00
Slovakia,S | General | EU | EN, --,EUR,88.82,293,15,5.12%,1.73,26.02,0.00%,0.00,0.00
France,S | General | EU | EN, --,EUR,51.35,259,16,6.18%,0.83,13.30,0.00%,0.00,0.00
Romania,S | General | EU | EN, --,EUR,26.69,774,24,3.10%,0.86,20.65,0.00%,0.00,0.00
Bulgaria,S | General | EU | EN, --,EUR,27.64,535,38,7.10%,0.39,14.79,0.00%,0.00,0.00
Croatia,S | General | EU | EN, --,EUR,41.95,608,51,8.39%,0.50,25.51,0.00%,0.00,0.00
Moldova,S | General | EU | EN, --,EUR,37.34,216,9,4.17%,0.90,8.07,0.00%,0.00,0.00
Estonia,S | General | EU | EN, --,EUR,43.74,506,33,6.52%,0.67,22.13,0.00%,0.00,0.00
Albania,S | General | EU | EN, --,EUR,28.61,137,6,4.38%,0.65,3.92,0.00%,0.00,0.00
Poland,S | General | EU | EN, --,EUR,48.24,700,42,6.00%,0.80,33.77,0.00%,0.00,0.00
Kosovo,S | General | EU | EN, --,EUR,32.78,95,6,6.32%,0.52,3.11,0.00%,0.00,0.00
Lithuania,S | General | EU | EN, --,EUR,36.57,453,33,7.28%,0.50,16.56,0.00%,0.00,0.00
Sweden,S | General | EU | EN, --,EUR,76.21,645,43,6.67%,1.14,49.16,2.33%,1.00,49.16
Finland,S | General | EU | EN, --,EUR,41.26,588,31,5.27%,0.78,24.26,0.00%,0.00,0.00
Slovenia,S | General | EU | EN, --,EUR,45.30,418,32,7.66%,0.59,18.93,0.00%,0.00,0.00
Bosnia and Herzegovina,S | General | EU | EN, --,EUR,27.03,516,28,5.43%,0.50,13.95,0.00%,0.00,0.00
Montenegro,S | General | EU | EN, --,EUR,16.61,77,5,6.49%,0.26,1.28,0.00%,0.00,0.00
Italy,S | General | EU | EN, --,EUR,60.27,488,31,6.35%,0.95,29.41,6.45%,2.00,14.71
Czechia,S | General | EU | EN, --,EUR,34.92,181,8,4.42%,0.79,6.32,0.00%,0.00,0.00
