date,week,focus,minutes,breath_support_1_5,endings_1_5,resonance_1_5,throat_tension_1_5,hoarseness_y_n,notes
2026-03-13,1,Усвідомлення і легкість,,,,,,,
2026-03-14,1,Усвідомлення і легкість,,,,,,,
2026-03-15,1,Усвідомлення і легкість,,,,,,,
2026-03-16,1,Усвідомлення і легкість,,,,,,,
2026-03-17,1,Усвідомлення і легкість,,,,,,,
2026-03-18,1,Усвідомлення і легкість,,,,,,,
2026-03-19,1,Усвідомлення і легкість,,,,,,,
2026-03-20,2,Стабільні кінці фраз,,,,,,,
2026-03-21,2,Стабільні кінці фраз,,,,,,,
2026-03-22,2,Стабільні кінці фраз,,,,,,,
2026-03-23,2,Стабільні кінці фраз,,,,,,,
2026-03-24,2,Стабільні кінці фраз,,,,,,,
2026-03-25,2,Стабільні кінці фраз,,,,,,,
2026-03-26,2,Стабільні кінці фраз,,,,,,,
2026-03-27,3,Трохи нижчі фінали,,,,,,,
2026-03-28,3,Трохи нижчі фінали,,,,,,,
2026-03-29,3,Трохи нижчі фінали,,,,,,,
2026-03-30,3,Трохи нижчі фінали,,,,,,,
2026-03-31,3,Трохи нижчі фінали,,,,,,,
2026-04-01,3,Трохи нижчі фінали,,,,,,,
2026-04-02,3,Трохи нижчі фінали,,,,,,,
2026-04-03,4,Перенесення в довше мовлення,,,,,,,
2026-04-04,4,Перенесення в довше мовлення,,,,,,,
2026-04-05,4,Перенесення в довше мовлення,,,,,,,
2026-04-06,4,Перенесення в довше мовлення,,,,,,,
2026-04-07,4,Перенесення в довше мовлення,,,,,,,
2026-04-08,4,Перенесення в довше мовлення,,,,,,,
2026-04-09,4,Перенесення в довше мовлення,,,,,,,
2026-04-10,5,Перенесення в реальні розмови,,,,,,,
2026-04-11,5,Перенесення в реальні розмови,,,,,,,
2026-04-12,5,Перенесення в реальні розмови,,,,,,,
2026-04-13,5,Перенесення в реальні розмови,,,,,,,
2026-04-14,5,Перенесення в реальні розмови,,,,,,,
2026-04-15,5,Перенесення в реальні розмови,,,,,,,
2026-04-16,5,Перенесення в реальні розмови,,,,,,,
2026-04-17,6,Закріплення,,,,,,,
2026-04-18,6,Закріплення,,,,,,,
2026-04-19,6,Закріплення,,,,,,,
2026-04-20,6,Закріплення,,,,,,,
2026-04-21,6,Закріплення,,,,,,,
2026-04-22,6,Закріплення,,,,,,,
2026-04-23,6,Закріплення,,,,,,,
