Device report
1 January 2026 - 26 March 2026
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
TV screens,Campaign,PMax | Rem | NL | New, --, --,None,EUR,8.35,402,248,61.69%,0.01,3.36,0.00%,0.00,0.00
TV screens,Campaign,PMAX | shopping | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMAX | shopping | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | NL | New, --, --,None,EUR,17.28,"81,378","4,620",5.68%,0.30,1406.34,0.74%,34.25,41.06
Tablets,Campaign,PMax | Rem | NL | New, --, --,None,EUR,9.07,"3,936",183,4.65%,0.20,35.69,1.64%,3.00,11.90
Tablets,Campaign,PMAX | shopping | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | NL | New, --, --,None,EUR,17.43,"8,667",106,1.22%,1.43,151.09,2.83%,3.00,50.36
Mobile Phones,Campaign,PMAX | shopping | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,S | Competitors | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,S | Competitors | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,S | Competitors | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Remarketing, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,Remarketing, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Rem | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Remarketing, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Rem | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Rem | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Remarketing, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,Rem | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
