Ad group report
1 October 2025 - 31 December 2025
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Target ROAS,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (Platform comparable),Cost/Conv. (Platform comparable),Conv. value/Cost (platform comparable),Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Enabled,tights ladder resist,S | General | EU | EN,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,34.35,"3,269",202,6.18%,0.56,112.28,[],[],0.00,0,0.00,202,0.99%,129.32,1.15,2.00,0.56,56.14,129.32
Paused,competitor wolford,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights ladder resist,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,89.68,"2,832",292,10.31%,0.87,253.99,[],[],0.00,0,0.00,292,2.05%,410.49,1.62,6.00,0.87,42.33,410.49
Paused,panty 80 dernier,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights does not break,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,71.52,"3,227",269,8.34%,0.86,230.80,[],[],0.00,0,0.00,269,2.97%,476.14,2.06,8.00,0.86,28.85,476.14
Paused,panty 30 dernier,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,tights black,S | General | EU | EN,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,customer list,Rem | NL,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,3.84,418,2,0.48%,0.80,1.60,[],[],0.00,0,0.00,2,0.00%,0.00,0.00,0.00,0.80,0.00,0.00
Enabled,Brand,S | Brand | EU | FR,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,26.00,20,7,35.00%,0.07,0.52,[],[],0.00,0,0.00,7,0.00%,0.00,0.00,0.00,0.07,0.00,0.00
Paused,panty anti ladder best,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Brand,S | Brand | UK,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,374.24,33,11,33.33%,1.12,12.35,[],[],0.00,0,0.00,11,0.00%,0.00,0.00,0.00,1.12,0.00,0.00
Enabled,tights 80 den,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Add payment info,Remarketing,EUR,0.50, --, --,Not eligible,campaign paused; most ads limited by policy,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,strumpfhosen does not break,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,67.50,"1,958",116,5.92%,1.14,132.16,[],[],0.00,0,0.00,116,0.00%,0.00,0.00,0.00,1.14,0.00,0.00
