Location report
1 October 2025 - 31 December 2025
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Netherlands,PMax | Rem | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,PMax | Rem | NL #3, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Canada,PMax | Rem | CA | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Switzerland,PMax | Rem | EU | EN, --,EUR,23.77,"2,886",164,5.68%,0.42,68.61,0.61%,1.00,68.61
Finland,PMax | Rem | EU | EN, --,EUR,13.89,"3,503",149,4.25%,0.33,48.67,2.68%,4.00,12.17
Hungary,PMax | Rem | EU | EN, --,EUR,4.48,"15,186",403,2.65%,0.17,68.04,0.00%,0.00,0.00
Netherlands,S | Brand | NL, --,EUR,104.41,"2,225",803,36.09%,0.29,232.31,14.16%,113.70,2.04
Italy,PMax | Rem | EU | EN, --,EUR,6.34,"20,730","1,268",6.12%,0.10,131.34,0.24%,3.00,43.78
Romania,PMax | Rem | EU | EN, --,EUR,8.82,"16,690","1,570",9.41%,0.09,147.13,0.06%,1.00,147.13
Belgium,PMax | Rem | EU | EN, --,EUR,34.29,"9,490",763,8.04%,0.43,325.39,0.66%,5.00,65.08
Belgium,S | Brand | NL, --,EUR,92.91,744,292,39.25%,0.24,69.12,20.55%,60.00,1.15
Czechia,PMax | Rem | EU | EN, --,EUR,1.92,"3,523",100,2.84%,0.07,6.75,0.00%,0.00,0.00
Denmark,PMax | Rem | EU | EN, --,EUR,33.03,"1,534",102,6.65%,0.50,50.66,1.96%,2.00,25.33
Spain,PMax | Rem | EU | EN, --,EUR,5.74,"21,739",989,4.55%,0.13,124.68,0.30%,3.00,41.56
Germany,PMax | Rem | EU | EN, --,EUR,10.23,"6,767",698,10.31%,0.10,69.20,0.29%,2.00,34.60
Norway,PMax | Rem | EU | EN, --,EUR,19.30,"1,825",93,5.10%,0.38,35.22,0.00%,0.00,0.00
Sweden,PMax | Rem | EU | EN, --,EUR,14.93,"4,152",212,5.11%,0.29,62.01,0.00%,0.00,0.00
Slovakia,PMax | Rem | EU | EN, --,EUR,2.53,"7,727",441,5.71%,0.04,19.58,0.00%,0.00,0.00
France,PMax | Rem | EU | EN, --,EUR,8.04,"21,124","1,388",6.57%,0.12,169.91,0.00%,0.00,0.00
Poland,PMax | Rem | EU | EN, --,EUR,3.78,"27,065","2,030",7.50%,0.05,102.41,0.00%,0.00,0.00
United Kingdom,PMax | Rem | UK, --,EUR,2.24,"287,291","4,833",1.68%,0.13,642.13,0.23%,11.00,58.38
Germany,PMax | General | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Belgium,Ehsan - Generic Search_Dutch_NL/BE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Ehsan - Generic Search_Dutch_NL/BE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,Rem | EU | FR, --,EUR,8.77,219,10,4.57%,0.19,1.92,0.00%,0.00,0.00
Bulgaria,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,Rem | EU | FR, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Spain,Rem | EU | FR, --,EUR,17.22,408,5,1.23%,1.41,7.03,0.00%,0.00,0.00
France,Rem | EU | FR, --,EUR,21.97,324,9,2.78%,0.79,7.12,0.00%,0.00,0.00
Italy,Rem | EU | FR, --,EUR,28.55,168,5,2.98%,0.96,4.80,0.00%,0.00,0.00
Latvia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,Rem | EU | FR, --,EUR,150.85,66,9,13.64%,1.11,9.96,0.00%,0.00,0.00
Portugal,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,Rem | EU | FR, --,EUR,130.78,49,1,2.04%,6.41,6.41,0.00%,0.00,0.00
Denmark,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,Rem | EU | FR, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Czechia,Rem | EU | FR, --,EUR,35.32,62,1,1.61%,2.19,2.19,0.00%,0.00,0.00
Bosnia and Herzegovina,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,Rem | EU | FR, --,EUR,38.44,195,11,5.64%,0.68,7.49,0.00%,0.00,0.00
Estonia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,Rem | EU | FR, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Albania,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,Rem | EU | FR, --,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Lithuania,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,Rem | EU | FR, --,EUR,24.37,497,31,6.24%,0.39,12.11,0.00%,0.00,0.00
Moldova,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,Rem | EU | FR, --,EUR,0.00,26,0,0.00%,0,0.00,0.00%,0.00,0.00
North Macedonia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,Rem | EU | DE, --,EUR,0.00,32,0,0.00%,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,Rem | EU | DE, --,EUR,80.16,377,26,6.90%,1.16,30.22,0.00%,0.00,0.00
Slovenia,Rem | EU | DE, --,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Denmark,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,Rem | EU | DE, --,EUR,192.07,107,2,1.87%,10.28,20.55,0.00%,0.00,0.00
Italy,Rem | EU | DE, --,EUR,35.95,325,17,5.23%,0.69,11.68,0.00%,0.00,0.00
Portugal,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,Rem | EU | DE, --,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
France,Rem | EU | DE, --,EUR,22.44,595,10,1.68%,1.34,13.35,0.00%,0.00,0.00
Bulgaria,Rem | EU | DE, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Latvia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,Rem | EU | DE, --,EUR,6.17,91,2,2.20%,0.28,0.56,0.00%,0.00,0.00
Poland,Rem | EU | DE, --,EUR,21.75,820,48,5.85%,0.37,17.83,0.00%,0.00,0.00
Norway,Rem | EU | DE, --,EUR,0.00,42,0,0.00%,0,0.00,0.00%,0.00,0.00
Albania,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,Rem | EU | DE, --,EUR,0.00,30,0,0.00%,0,0.00,0.00%,0.00,0.00
Spain,Rem | EU | DE, --,EUR,3.43,605,5,0.83%,0.41,2.07,0.00%,0.00,0.00
Kosovo,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,Rem | EU | DE, --,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
