Ad group report
1 October 2025 - 31 December 2025
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Brand inclusions,Locations of interest,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,Valant,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,2,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Dermatology Clinic Software,ADa - Services,Eligible,unknown,USD, --,Standard,2,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Noterro,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,2,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Pabau,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,30,6,20.00%,USD,1.63,9.78,[],[],6,0.00%,0.00,1.63,0.00
Enabled,DOCMate,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,407,47,11.55%,USD,1.62,76.35,[],[],47,1.06%,0.50,1.62,152.70
Enabled,Сlinicsoftwaredubai(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,13,1,7.69%,USD,1.81,1.81,[],[],1,0.00%,0.00,1.81,0.00
Enabled,Hospital Management System,ADa - Services,Eligible,unknown,USD, --,Standard,769,55,7.15%,USD,2.61,143.54,[],[],55,3.64%,2.00,2.61,71.77
Enabled,AdvancedMD,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,10,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Raintree Systems,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Medical Systems,ADa - Services,Eligible,unknown,USD, --,Standard,"1,213",54,4.45%,USD,2.46,132.74,[],[],54,1.85%,1.00,2.46,132.74
Enabled,MedicoPlus,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,45,4,8.89%,USD,1.70,6.79,[],[],4,0.00%,0.00,1.70,0.00
Enabled,Clintee(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,5,2,40.00%,USD,1.93,3.86,[],[],2,0.00%,0.00,1.93,0.00
Enabled,Jane Software,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,13,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Medicine Software,ADa - Services,Eligible,unknown,USD, --,Standard,136,8,5.88%,USD,1.75,14.00,[],[],8,0.00%,0.00,1.75,0.00
Enabled,Azalea Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,3,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Physiotherapy Practice Software,ADa - Services,Eligible,unknown,USD, --,Standard,12,2,16.67%,USD,2.95,5.89,[],[],2,0.00%,0.00,2.95,0.00
Enabled,DrChrono,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,9,4,44.44%,USD,1.79,7.17,[],[],4,25.00%,1.00,1.79,7.17
Enabled,Healthcare Software,ADa - Services,Eligible,unknown,USD, --,Standard,566,39,6.89%,USD,2.54,99.10,[],[],39,6.41%,2.50,2.54,39.64
Enabled,Oracle Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,402,19,4.73%,USD,1.84,34.98,[],[],19,0.00%,0.00,1.84,0.00
Enabled,PracticeBetter,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,3,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Medical Software,ADa - Services,Eligible,unknown,USD, --,Standard,697,33,4.73%,USD,2.38,78.44,[],[],33,3.03%,1.00,2.38,78.44
Enabled,Care4 EMR(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,DTech IT Solutions(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,54,1,1.85%,USD,1.99,1.99,[],[],1,0.00%,0.00,1.99,0.00
Enabled,Patient Management Software,ADa - Services,Eligible,unknown,USD, --,Standard,153,10,6.54%,USD,2.28,22.85,[],[],10,15.00%,1.50,2.28,15.23
Enabled,Clinicea,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,175,11,6.29%,USD,1.57,17.29,[],[],11,0.00%,0.00,1.57,0.00
Enabled,Zanda (formerly Power Diary),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,15,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
