Age report
1 October 2025 - 31 December 2025
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,ADa - Competitors,Clinicea,Campaign paused, --,60,5,8.33%,USD,1.94,9.71,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,DOCMate,Campaign paused, --,22,6,27.27%,USD,1.70,10.18,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,Oracle Health,Campaign paused, --,19,2,10.53%,USD,1.74,3.47,0.00%,0.00,0.00
Enabled,25 - 34,ADa - Competitors,eClinicalWorks,Campaign paused, --,9,3,33.33%,USD,1.80,5.39,0.00%,0.00,0.00
Enabled,35 - 44,ADa - Competitors,DOCMate,Campaign paused, --,130,10,7.69%,USD,1.76,17.58,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Adroit(UAE),Campaign paused, --,18,2,11.11%,USD,1.90,3.79,0.00%,0.00,0.00
Enabled,45 - 54,ADa - Competitors,Athenahealth,Campaign paused, --,5,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,ADa - Competitors,Carepatron,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa - Competitors,Clinicea,Campaign paused, --,5,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,Practice Fusion,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,ADa - Competitors,Jane Software,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,ADa - Competitors,Clintee(UAE),Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,ADa - Competitors,Zanda (formerly Power Diary),Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,ADa - Competitors,eClinicalWorks,Campaign paused, --,10,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,ADa - Competitors,CentralReach,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Сlinicsoftwaredubai(UAE),Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,ADa - Competitors,Care4 EMR(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,ADa - Competitors,Tebra,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,CureMD,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa - Competitors,Ensora Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Innsof Medcare(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,AdvancedMD,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Raintree Systems,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,Praxis EMR,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa - Competitors,Clintee(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,ADa - Competitors,eClinicalWorks,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,eClinicalWorks,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,Valant,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,CareCloud,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,CentralReach,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa - Competitors,Innsof Medcare(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,ADa - Competitors,Carepatron,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa - Competitors,Pabau,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa - Competitors,Athenahealth,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,ADa - Competitors,Adroit(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,ADa - Competitors,ModMed,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,DrChrono,Campaign paused, --,5,1,20.00%,USD,1.94,1.94,0.00%,0.00,0.00
Enabled,25 - 34,ADa - Competitors,DrChrono,Campaign paused, --,3,3,100.00%,USD,1.74,5.23,33.33%,1.00,5.23
Enabled,25 - 34,ADa - Competitors,Practice Fusion,Campaign paused, --,13,1,7.69%,USD,1.70,1.70,0.00%,0.00,0.00
Enabled,55 - 64,ADa - Competitors,Epic Systems Corporation,Campaign paused, --,4,1,25.00%,USD,1.56,1.56,0.00%,0.00,0.00
