Device report
1 October 2025 - 31 December 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Mobile Phones,Campaign,ADa - Competitors, --, --,None,759,55,7.25%,USD,1.71,94.12,0.91%,0.50,188.24
Computers,Campaign,ADa - Competitors, --, --,None,813,82,10.09%,USD,1.72,141.05,1.22%,1.00,141.05
Tablets,Campaign,ADa - Competitors, --, --,None,36,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,ADa - PMax, --, --,None,"25,297","1,344",5.31%,USD,0.15,208.24,1.34%,18.00,11.57
Tablets,Campaign,ADa - PMax, --, --,None,"1,532",85,5.55%,USD,0.13,10.76,1.18%,1.00,10.76
TV screens,Campaign,ADa - PMax, --, --,None,14,1,7.14%,USD,0.18,0.18,0.00%,0.00,0.00
Computers,Campaign,ADa - PMax, --, --,None,"2,212",469,21.20%,USD,0.06,29.32,0.21%,1.00,29.32
Tablets,Campaign,ADa - Services, --, --,None,252,7,2.78%,USD,2.57,18.02,0.00%,0.00,0.00
Mobile Phones,Campaign,ADa - Services, --, --,None,"5,290",308,5.82%,USD,2.36,726.89,3.73%,11.50,63.21
Computers,Campaign,ADa - Services, --, --,None,"3,053",178,5.83%,USD,2.48,441.03,1.69%,3.00,147.01
,,,,Total: Account,,"39,258","2,529",6.44%,USD,0.66,1669.60,1.42%,36.00,46.38
