Week,Impressions,Clicks,CTR,CPC,Cost,Revenue,Profit,Conversions,CPA,Conv. rate,ROAS
"23 Mar 2026 - 29 Mar 2026 (Week 13)",6700,126,1.87%,0.92,116,667,551,4,29,2.0%,5.8
"16 Mar 2026 - 22 Mar 2026 (Week 12)",47600,783,1.65%,1.23,965,3538,2573,27,36,2.7%,3.7
"9 Mar 2026 - 15 Mar 2026 (Week 11)",48300,785,1.63%,1.26,992,4057,3065,33,30,2.7%,4.1
"2 Mar 2026 - 8 Mar 2026 (Week 10)",49600,698,1.41%,1.14,793,3182,2389,24,33,2.3%,4.0
"23 Feb 2026 - 1 Mar 2026 (Week 9)",56700,721,1.27%,1.02,738,2297,1559,18,41,2.0%,3.1
"16 Feb 2026 - 22 Feb 2026 (Week 8)",71600,853,1.19%,1.16,987,2774,1787,18,55,1.8%,2.8
"9 Feb 2026 - 15 Feb 2026 (Week 7)",85800,961,1.12%,1.19,1143,5466,4322,40,29,3.1%,4.8
"2 Feb 2026 - 8 Feb 2026 (Week 6)",66900,824,1.23%,1.2,993,4680,3687,39,25,3.9%,4.7
"26 Jan 2026 - 1 Feb 2026 (Week 5)",66400,800,1.21%,1.24,990,4843,3852,35,28,3.0%,4.9
"19 Jan 2026 - 25 Jan 2026 (Week 4)",58700,779,1.33%,1.13,878,7466,6588,34,26,3.2%,8.5
Total,6800000,100100,1.47%,1.23,123010,2915285,2792275,4290,29,3.4%,23.7
Note,"This file contains the visible rows from the open week-by-week table, not the full underlying dataset.",,,,,,,,,,,
