Ad group report
1 January 2026 - 26 March 2026
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Brand inclusions,Locations of interest,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,CureMD,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Сlinicsoftwaredubai(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Hospital Management System,ADa - Services,Eligible,unknown,USD, --,Standard,"1,641",91,5.55%,USD,2.31,210.40,[],[],91,23.08%,21.00,2.31,10.02
Enabled,Psychiatry Clinic Software,ADa - Services,Eligible,unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Health Records,ADa - Services,Eligible,unknown,USD, --,Standard,396,10,2.53%,USD,1.78,17.78,[],[],10,0.00%,0.00,1.78,0.00
Enabled,DOCMate,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Dental Practice Software,ADa - Services,Eligible,unknown,USD, --,Standard,611,32,5.24%,USD,1.47,46.98,[],[],32,3.13%,1.00,1.47,46.98
Enabled,Medical Systems,ADa - Services,Eligible,unknown,USD, --,Standard,"1,273",49,3.85%,USD,1.67,82.01,[],[],49,0.00%,0.00,1.67,0.00
Enabled,MedicoPlus,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Jane Software,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Raintree Systems,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Valant,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
