Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,4,ADa - PMax,885,45,5.08%,AED,0.59,26.68,2.22%,1.00,26.68
Saturday,9,ADa - Eng,67,4,5.97%,AED,5.40,21.58,25.00%,1.00,21.58
Tuesday,6,ADa - Eng,33,3,9.09%,AED,4.24,12.72,0.00%,0.00,0.00
Saturday,9,ADa - PMax,"3,079",80,2.60%,AED,1.04,82.89,5.00%,4.00,20.73
Friday,18,ADa - PMax,"3,463",112,3.23%,AED,0.69,77.27,0.89%,1.00,77.27
Thursday,4,ADa - PMax,584,19,3.25%,AED,0.48,9.04,0.00%,0.00,0.00
Thursday,11,ADa - PMax,"3,803",94,2.47%,AED,0.62,57.90,0.00%,0.00,0.00
Tuesday,11,ADa - PMax,"4,766",84,1.76%,AED,0.84,70.32,2.38%,2.00,35.15
Wednesday,13,ADa - Eng,118,4,3.39%,AED,4.88,19.52,0.00%,0.00,0.00
Monday,7,ADa - Eng,62,2,3.23%,AED,3.98,7.95,0.00%,0.00,0.00
Sunday,17,ADa - Eng,37,1,2.70%,AED,3.12,3.12,0.00%,0.00,0.00
Thursday,3,ADa - PMax,646,30,4.64%,AED,0.68,20.34,0.00%,0.00,0.00
Wednesday,14,ADa - PMax,"4,070",105,2.58%,AED,0.76,80.00,2.01%,2.11,37.90
Monday,11,ADa - PMax,"3,908",81,2.07%,AED,0.80,64.63,3.70%,3.00,21.55
Monday,13,ADa - PMax,"2,690",80,2.97%,AED,0.90,72.03,3.75%,3.00,24.01
Friday,23,ADa - Eng,39,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Tuesday,3,ADa - Eng,21,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Friday,9,ADa - PMax,"3,325",82,2.47%,AED,0.88,72.24,4.45%,3.65,19.81
Monday,10,ADa - PMax,"3,752",64,1.71%,AED,1.04,66.36,3.13%,2.00,33.17
Monday,18,ADa - PMax,"2,347",99,4.22%,AED,0.79,78.30,2.02%,2.00,39.22
Friday,9,ADa - Eng,87,6,6.90%,AED,3.75,22.47,0.00%,0.00,0.00
Thursday,3,ADa - Eng,10,2,20.00%,AED,4.98,9.96,0.00%,0.00,0.00
Monday,6,ADa - Eng,35,2,5.71%,AED,4.53,9.06,0.00%,0.00,0.00
Sunday,14,ADa - Eng,136,8,5.88%,AED,2.61,20.85,0.00%,0.00,0.00
Saturday,21,ADa - PMax,"6,322",202,3.20%,AED,0.48,96.13,0.99%,2.00,48.10
Wednesday,10,ADa - PMax,"4,459",66,1.48%,AED,1.03,68.30,0.00%,0.00,0.00
Saturday,3,ADa - Eng,32,3,9.38%,AED,3.55,10.66,0.00%,0.00,0.00
Thursday,7,ADa - Eng,27,1,3.70%,AED,4.93,4.93,0.00%,0.00,0.00
Thursday,15,ADa - Eng,128,4,3.13%,AED,3.95,15.79,0.00%,0.00,0.00
Saturday,0,ADa - PMax,"1,857",66,3.55%,AED,0.56,37.20,3.03%,2.00,18.60
Saturday,6,ADa - PMax,947,33,3.48%,AED,0.73,24.24,2.02%,0.67,36.39
Saturday,10,ADa - PMax,"3,651",95,2.60%,AED,0.71,67.03,2.11%,2.00,33.52
Thursday,5,ADa - PMax,654,22,3.36%,AED,0.80,17.66,0.00%,0.00,0.00
Thursday,2,ADa - Eng,32,3,9.38%,AED,2.83,8.48,0.00%,0.00,0.00
Tuesday,23,ADa - Eng,36,1,2.78%,AED,4.20,4.20,0.00%,0.00,0.00
Wednesday,17,ADa - Eng,15,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Monday,3,ADa - Eng,18,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Friday,6,ADa - PMax,"1,258",51,4.05%,AED,0.79,40.23,1.96%,1.00,40.23
Thursday,10,ADa - PMax,"3,274",81,2.47%,AED,1.04,84.29,3.70%,3.00,28.10
Tuesday,15,ADa - PMax,"3,360",120,3.57%,AED,0.74,89.32,0.83%,1.00,89.32
Monday,3,ADa - PMax,"1,008",50,4.96%,AED,0.53,26.60,2.00%,1.00,26.60
Friday,14,ADa - Eng,36,3,8.33%,AED,2.68,8.05,0.00%,0.00,0.00
Sunday,0,ADa - Eng,59,3,5.08%,AED,4.48,13.44,0.00%,0.00,0.00
Sunday,1,ADa - Eng,57,2,3.51%,AED,4.73,9.45,0.00%,0.00,0.00
Sunday,12,ADa - Eng,151,7,4.64%,AED,3.80,26.57,0.00%,0.00,0.00
Friday,20,ADa - Eng,12,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Wednesday,4,ADa - PMax,580,27,4.66%,AED,0.99,26.68,3.70%,1.00,26.68
Wednesday,23,ADa - PMax,"2,526",101,4.00%,AED,0.57,57.22,0.00%,0.00,0.00
Monday,9,ADa - PMax,"3,020",72,2.38%,AED,1.02,73.11,1.39%,1.00,73.09
Saturday,22,ADa - PMax,"6,995",228,3.26%,AED,0.54,122.10,0.88%,2.00,61.07
Friday,4,ADa - PMax,680,24,3.53%,AED,0.49,11.74,4.17%,1.00,11.74
Thursday,22,ADa - PMax,"5,000",176,3.52%,AED,0.70,123.19,2.56%,4.50,27.38
Wednesday,3,ADa - PMax,727,20,2.75%,AED,0.52,10.32,0.00%,0.00,0.00
Saturday,1,ADa - PMax,"1,720",60,3.49%,AED,0.51,30.44,0.00%,0.00,0.00
Wednesday,9,ADa - PMax,"3,155",51,1.62%,AED,1.14,58.22,0.00%,0.00,0.00
Sunday,11,ADa - PMax,"2,942",96,3.26%,AED,0.66,63.20,1.04%,1.00,63.20
Sunday,21,ADa - PMax,"4,507",182,4.04%,AED,0.58,106.32,0.55%,1.00,106.19
Saturday,22,ADa - Eng,55,1,1.82%,AED,2.80,2.80,0.00%,0.00,0.00
Friday,10,ADa - Eng,84,2,2.38%,AED,3.69,7.37,0.00%,0.00,0.00
Friday,12,ADa - Eng,112,4,3.57%,AED,4.00,15.98,0.00%,0.00,0.00
Thursday,5,ADa - Eng,19,1,5.26%,AED,6.42,6.42,0.00%,0.00,0.00
Tuesday,12,ADa - Eng,123,7,5.69%,AED,5.12,35.86,0.00%,0.00,0.00
Friday,21,ADa - Eng,25,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Wednesday,3,ADa - Eng,26,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Saturday,7,ADa - PMax,"1,493",38,2.55%,AED,0.90,34.08,2.63%,1.00,34.08
Friday,16,ADa - PMax,"3,294",147,4.46%,AED,0.74,108.08,2.72%,4.00,27.03
Wednesday,0,ADa - PMax,"1,382",43,3.11%,AED,0.61,26.16,0.00%,0.00,0.00
Tuesday,23,ADa - PMax,"2,347",96,4.09%,AED,0.66,62.90,1.04%,1.00,62.93
Monday,23,ADa - PMax,"2,190",94,4.29%,AED,0.78,73.68,2.13%,2.00,36.82
Saturday,12,ADa - Eng,61,3,4.92%,AED,4.47,13.40,33.33%,1.00,13.40
Friday,18,ADa - Eng,109,6,5.50%,AED,3.42,20.52,0.00%,0.00,0.00
Monday,11,ADa - Eng,119,3,2.52%,AED,1.98,5.95,0.00%,0.00,0.00
Monday,12,ADa - Eng,172,5,2.91%,AED,2.55,12.76,0.00%,0.00,0.00
Wednesday,19,ADa - Eng,19,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Friday,2,ADa - PMax,"1,251",41,3.28%,AED,0.47,19.31,2.44%,1.00,19.31
Sunday,8,ADa - Eng,58,1,1.72%,AED,2.88,2.88,0.00%,0.00,0.00
Tuesday,19,ADa - Eng,2,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Saturday,13,ADa - PMax,"4,573",110,2.41%,AED,0.80,88.52,1.82%,2.00,44.26
Friday,21,ADa - PMax,"4,291",133,3.10%,AED,0.83,110.61,1.77%,2.35,46.99
Tuesday,13,ADa - PMax,"4,168",102,2.45%,AED,0.73,74.61,0.98%,1.00,74.58
Saturday,6,ADa - Eng,14,1,7.14%,AED,4.87,4.87,0.00%,0.00,0.00
Friday,5,ADa - Eng,24,2,8.33%,AED,4.93,9.86,0.00%,0.00,0.00
Wednesday,7,ADa - Eng,39,2,5.13%,AED,4.96,9.92,0.00%,0.00,0.00
Sunday,11,ADa - Eng,126,6,4.76%,AED,4.63,27.77,0.00%,0.00,0.00
Tuesday,20,ADa - Eng,5,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Thursday,20,ADa - PMax,"5,055",181,3.58%,AED,0.70,126.56,1.66%,3.00,42.21
Wednesday,8,ADa - PMax,"2,244",64,2.85%,AED,0.94,59.90,0.00%,0.00,0.00
Wednesday,19,ADa - PMax,"5,079",135,2.66%,AED,0.72,97.27,1.48%,2.00,48.64
Saturday,1,ADa - Eng,59,3,5.08%,AED,2.99,8.96,0.00%,0.00,0.00
Saturday,21,ADa - Eng,56,1,1.79%,AED,2.89,2.89,0.00%,0.00,0.00
Thursday,8,ADa - Eng,72,3,4.17%,AED,4.17,12.52,0.00%,0.00,0.00
Saturday,20,ADa - PMax,"5,402",181,3.35%,AED,0.51,92.22,0.55%,1.00,92.20
Friday,10,ADa - PMax,"3,984",83,2.08%,AED,0.98,81.17,2.41%,2.00,40.61
Tuesday,5,ADa - PMax,879,26,2.96%,AED,0.69,18.00,0.00%,0.00,0.00
Thursday,0,ADa - Eng,43,4,9.30%,AED,4.43,17.71,0.00%,0.00,0.00
Saturday,2,ADa - PMax,"1,251",49,3.92%,AED,0.46,22.73,2.04%,1.00,22.73
Friday,20,ADa - PMax,"4,014",140,3.49%,AED,0.75,104.89,2.14%,3.00,34.99
Wednesday,5,ADa - PMax,783,38,4.85%,AED,0.83,31.71,2.63%,1.00,31.71
Saturday,10,ADa - Eng,88,6,6.82%,AED,4.75,28.51,0.00%,0.00,0.00
Saturday,19,ADa - Eng,20,2,10.00%,AED,2.45,4.89,0.00%,0.00,0.00
Monday,16,ADa - Eng,44,1,2.27%,AED,0.49,0.49,0.00%,0.00,0.00
Thursday,2,ADa - PMax,994,34,3.42%,AED,0.56,19.20,0.00%,0.00,0.00
Tuesday,21,ADa - PMax,"3,103",122,3.93%,AED,0.75,91.30,0.41%,0.50,182.74
Thursday,12,ADa - Eng,51,6,11.76%,AED,2.41,14.48,0.00%,0.00,0.00
Wednesday,9,ADa - Eng,60,4,6.67%,AED,3.46,13.85,0.00%,0.00,0.00
Saturday,18,ADa - PMax,"5,161",159,3.08%,AED,0.57,91.18,0.63%,1.00,91.18
Sunday,12,ADa - PMax,"2,795",85,3.04%,AED,0.60,51.05,1.18%,1.00,51.05
Saturday,16,ADa - Eng,26,4,15.38%,AED,3.01,12.03,0.00%,0.00,0.00
Friday,8,ADa - Eng,50,4,8.00%,AED,3.87,15.49,0.00%,0.00,0.00
Thursday,14,ADa - Eng,80,6,7.50%,AED,2.95,17.73,0.00%,0.00,0.00
Thursday,17,ADa - Eng,107,3,2.80%,AED,3.34,10.02,0.00%,0.00,0.00
Thursday,20,ADa - Eng,24,2,8.33%,AED,5.21,10.41,0.00%,0.00,0.00
Saturday,8,ADa - PMax,"2,412",60,2.49%,AED,0.89,53.49,5.00%,3.00,17.84
Wednesday,18,ADa - PMax,"3,883",110,2.83%,AED,0.78,85.88,1.36%,1.50,57.28
