Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Female,ADa - Competitors,DOCMate,Campaign paused, --,117,9,7.69%,USD,1.61,14.46,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Pabau,Campaign paused, --,5,2,40.00%,USD,1.42,2.84,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,CareCloud,Campaign paused, --,2,1,50.00%,USD,1.08,1.08,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Epic Systems Corporation,Campaign paused, --,51,2,3.92%,USD,1.63,3.26,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,CentralReach,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,AdvancedMD,Campaign paused, --,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,WebPT,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Care4 EMR(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,SimplePractice,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Elation Health,Campaign paused, --,1,1,100.00%,USD,1.99,1.99,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,MedicoPlus,Campaign paused, --,21,1,4.76%,USD,1.38,1.38,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,NextGen Healthcare,Campaign paused, --,4,1,25.00%,USD,1.97,1.97,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Elation Health,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,DTech IT Solutions(UAE),Campaign paused, --,15,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Carepatron,Campaign paused, --,5,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Zanda (formerly Power Diary),Campaign paused, --,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,ModMed,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Zanda (formerly Power Diary),Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,PracticeBetter,Ad group not complete, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Noterro,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,РЎlinicsoftwaredubai(UAE),Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Praxis EMR,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Raintree Systems,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,PrognoCIS (Bizmatics Inc.),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Epic Systems Corporation,Campaign paused, --,101,8,7.92%,USD,1.92,15.32,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Clinicea,Campaign paused, --,72,3,4.17%,USD,1.37,4.10,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,DOCMate,Campaign paused, --,121,16,13.22%,USD,1.61,25.79,3.13%,0.50,51.58
Enabled,Male,ADa - Competitors,Practice Fusion,Campaign paused, --,13,1,7.69%,USD,1.70,1.70,0.00%,0.00,0.00
