Demographic status,Household income,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,21 - 30%,ADa - Competitors,РЎlinicsoftwaredubai(UAE),Campaign paused, --,3,1,33.33%,USD,1.81,1.81,0.00%,0.00,0.00
Enabled,21 - 30%,ADa - Competitors,Oracle Health,Campaign paused, --,40,1,2.50%,USD,1.44,1.44,0.00%,0.00,0.00
Enabled,11 - 20%,ADa - Competitors,Tebra,Campaign paused, --,1,1,100.00%,USD,1.94,1.94,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Adroit(UAE),Campaign paused, --,18,2,11.11%,USD,1.90,3.79,0.00%,0.00,0.00
Enabled,Top 10%,ADa - Competitors,Clintee(UAE),Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,ADa - Competitors,Epic Systems Corporation,Campaign paused, --,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,ADa - Competitors,Clinicea,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Zanda (formerly Power Diary),Campaign paused, --,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,ADa - Competitors,Valant,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,ADa - Competitors,TherapyNotes,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,ADa - Competitors,ModMed,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,ADa - Competitors,SimplePractice,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,ADa - Competitors,Tebra,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,ADa - Competitors,AdvancedMD,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,ADa - Competitors,Azalea Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,ADa - Competitors,Experity Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,ADa - Competitors,Carepatron,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
