Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Thursday,14,ADa - Competitors,26,4,15.38%,USD,1.67,6.68,0.00%,0.00,0.00
Thursday,16,ADa - PMax,68,11,16.18%,USD,0.03,0.31,0.00%,0.00,0.00
Thursday,17,ADa - PMax,58,11,18.97%,USD,0.13,1.41,0.00%,0.00,0.00
Monday,12,ADa - PMax,130,23,17.69%,USD,0.17,3.89,13.04%,3.00,1.30
Monday,20,ADa - PMax,70,4,5.71%,USD,0.44,1.78,0.00%,0.00,0.00
Saturday,5,ADa - PMax,109,8,7.34%,USD,0.18,1.44,0.00%,0.00,0.00
Saturday,9,ADa - PMax,389,16,4.11%,USD,0.07,1.16,0.00%,0.00,0.00
Wednesday,19,ADa - Services,64,4,6.25%,USD,2.17,8.69,0.00%,0.00,0.00
Wednesday,21,ADa - Services,52,2,3.85%,USD,1.93,3.85,0.00%,0.00,0.00
Saturday,6,ADa - Services,16,1,6.25%,USD,2.96,2.96,0.00%,0.00,0.00
Saturday,11,ADa - Services,109,11,10.09%,USD,2.49,27.35,0.00%,0.00,0.00
Thursday,22,ADa - Competitors,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,1,ADa - Services,27,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,19,ADa - Services,54,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,2,ADa - Competitors,2,1,50.00%,USD,1.50,1.50,0.00%,0.00,0.00
Thursday,4,ADa - PMax,2,1,50.00%,USD,0.03,0.03,0.00%,0.00,0.00
Wednesday,15,ADa - PMax,38,8,21.05%,USD,0.02,0.20,0.00%,0.00,0.00
Sunday,8,ADa - PMax,16,9,56.25%,USD,0.05,0.41,0.00%,0.00,0.00
Friday,17,ADa - Services,58,2,3.45%,USD,2.98,5.95,0.00%,0.00,0.00
Tuesday,7,ADa - Services,17,1,5.88%,USD,2.96,2.96,0.00%,0.00,0.00
Monday,11,ADa - Services,164,8,4.88%,USD,2.02,16.12,0.00%,0.00,0.00
Wednesday,15,ADa - Competitors,19,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,10,ADa - Competitors,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,16,ADa - Services,35,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,13,ADa - Competitors,10,1,10.00%,USD,1.59,1.59,0.00%,0.00,0.00
Wednesday,4,ADa - Competitors,1,1,100.00%,USD,1.98,1.98,0.00%,0.00,0.00
Monday,12,ADa - Competitors,11,1,9.09%,USD,1.99,1.99,0.00%,0.00,0.00
Sunday,23,ADa - Competitors,5,1,20.00%,USD,0.97,0.97,0.00%,0.00,0.00
Friday,5,ADa - PMax,223,13,5.83%,USD,0.05,0.69,0.00%,0.00,0.00
Monday,3,ADa - PMax,117,5,4.27%,USD,0.03,0.14,0.00%,0.00,0.00
Monday,11,ADa - PMax,40,16,40.00%,USD,0.04,0.68,0.00%,0.00,0.00
Saturday,21,ADa - PMax,726,36,4.96%,USD,0.04,1.54,2.78%,1.00,1.54
Thursday,0,ADa - Services,34,3,8.82%,USD,2.92,8.77,0.00%,0.00,0.00
Thursday,2,ADa - Services,23,2,8.70%,USD,2.99,5.97,50.00%,1.00,5.97
Thursday,7,ADa - Services,43,3,6.98%,USD,2.47,7.40,0.00%,0.00,0.00
Thursday,17,ADa - Services,84,1,1.19%,USD,2.92,2.92,0.00%,0.00,0.00
Sunday,9,ADa - Services,57,3,5.26%,USD,1.83,5.50,0.00%,0.00,0.00
Tuesday,9,ADa - Competitors,17,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,3,ADa - Competitors,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,1,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,13,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
