Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Wednesday,16,S | Brand | NL,EUR,10.00,1,1,100.00%,0.01,0.01,0.00%,0.00,0.00
Tuesday,15,S | Brand | NL,EUR,2.50,8,2,25.00%,0.01,0.02,0.00%,0.00,0.00
Wednesday,7,PMax | Rem | DE,EUR,26.15,182,9,4.95%,0.53,4.76,0.00%,0.00,0.00
Sunday,18,PMax | Rem | DE,EUR,10.90,901,31,3.44%,0.32,9.82,0.00%,0.00,0.00
Wednesday,6,PMax | Rem | UK,EUR,1.13,11,1,9.09%,0.01,0.01,0.00%,0.00,0.00
Wednesday,22,PMax | Rem | UK,EUR,18.94,191,4,2.09%,0.90,3.62,0.00%,0.00,0.00
Sunday,0,PMax | Rem | UK,EUR,57.37,68,5,7.35%,0.78,3.90,0.00%,0.00,0.00
Friday,9,PMAX | shopping | EU | EN,EUR,0.34,197,1,0.51%,0.07,0.07,0.00%,0.00,0.00
Friday,19,DGen | EN,EUR,0.33,"3,613",8,0.22%,0.15,1.21,0.00%,0.00,0.00
Thursday,23,DGen | EN,EUR,0.37,"3,583",18,0.50%,0.07,1.34,0.00%,0.00,0.00
Tuesday,19,DGen | EN,EUR,1.25,"3,140",10,0.32%,0.39,3.92,0.00%,0.00,0.00
Saturday,23,PMax | Rem | US | EN,EUR,237.30,37,3,8.11%,2.93,8.78,33.33%,1.00,8.78
Tuesday,17,PMax | Rem | US | EN,EUR,104.29,78,2,2.56%,4.07,8.13,0.00%,0.00,0.00
Monday,4,PMax | Rem | US | EN,EUR,16.86,35,1,2.86%,0.59,0.59,0.00%,0.00,0.00
Thursday,23,ADa_Panty_NL,EUR,5.52,111,9,8.11%,0.07,0.61,0.00%,0.00,0.00
Monday,23,ADa_Panty_NL,EUR,14.92,106,6,5.66%,0.26,1.58,0.00%,0.00,0.00
Monday,11,S | Brand | EU | DE,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Friday,2,PMax | Rem | NL | New,EUR,76.15,100,6,6.00%,1.27,7.62,16.67%,1.00,7.62
Wednesday,1,PMax | Rem | NL | New,EUR,24.21,165,8,4.85%,0.50,3.99,0.00%,0.00,0.00
Tuesday,12,PMax | Rem | NL | New,EUR,17.36,595,57,9.58%,0.18,10.33,0.00%,0.00,0.00
Monday,15,PMax | Rem | NL | New,EUR,11.05,745,38,5.10%,0.22,8.24,0.00%,0.00,0.00
Sunday,10,PMax | Rem | NL | New,EUR,24.27,948,48,5.06%,0.48,23.01,1.57%,0.75,30.52
Sunday,14,PMax | Rem | NL | New,EUR,13.78,"1,133",54,4.77%,0.29,15.61,1.85%,1.00,15.61
Sunday,17,PMax | Rem | NL | New,EUR,9.79,882,30,3.40%,0.29,8.64,0.00%,0.00,0.00
Friday,10,S | General | EU | EN,EUR,48.68,76,4,5.26%,0.93,3.70,0.00%,0.00,0.00
Wednesday,15,S | General | EU | EN,EUR,39.76,59,4,6.78%,0.59,2.35,0.00%,0.00,0.00
Wednesday,18,S | General | EU | EN,EUR,75.76,114,7,6.14%,1.23,8.64,0.00%,0.00,0.00
Thursday,10,ADa_Pants_NL,EUR,20.03,226,8,3.54%,0.57,4.53,0.00%,0.00,0.00
Wednesday,18,ADa_Pants_NL,EUR,6.91,190,2,1.05%,0.66,1.31,0.00%,0.00,0.00
Saturday,10,S | General | NL,EUR,34.30,158,2,1.27%,2.71,5.42,0.00%,0.00,0.00
Thursday,6,S | General | NL,EUR,26.88,51,1,1.96%,1.37,1.37,0.00%,0.00,0.00
Saturday,10,PMax | Rem | EU | EN,EUR,15.55,465,17,3.66%,0.43,7.23,0.00%,0.00,0.00
Saturday,18,PMax | Rem | EU | EN,EUR,3.57,496,22,4.44%,0.08,1.77,0.00%,0.00,0.00
Thursday,8,PMax | Rem | EU | EN,EUR,4.38,577,48,8.32%,0.05,2.53,0.00%,0.00,0.00
Thursday,10,PMax | Rem | EU | EN,EUR,38.46,415,22,5.30%,0.73,15.96,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | EU | EN,EUR,11.30,609,37,6.08%,0.19,6.88,0.00%,0.00,0.00
Tuesday,23,PMax | Rem | EU | EN,EUR,6.16,644,20,3.11%,0.20,3.97,0.00%,0.00,0.00
Monday,6,PMax | Rem | EU | EN,EUR,21.24,248,19,7.66%,0.28,5.27,4.64%,0.88,5.97
