"Gender","Campaign","Ad group","Status","Bid adj.","Avg. CPM","Impr.","Interactions","Interaction rate","Avg. cost","Cost","Conv. rate","Conversions","Cost / conv."
"Female","Ehsan - Generic Search_Dutch_NL/BE","Broad","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | Brand | NL","Brand","Campaign paused","—","€124.25","1,909","716","Clicks","37.51%","€0.33","€237.19","17.38%","124.47"
"Female","Ehsan - Generic Search_Dutch_NL/BE","Phrase - Competitor","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","Ehsan - Generic Search_Dutch_NL/BE","Exact","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","Remarketing","Add payment info","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor anni rolfi","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor blom kousen","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor calzedonia","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor falke","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor hedoïne","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","Ehsan - Generic Search_Dutch_NL/BE","Broad","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | Brand | NL","Brand","Campaign paused","—","€124.25","1,909","716","Clicks","37.51%","€0.33","€237.19","17.38%","124.47"
"Female","Ehsan - Generic Search_Dutch_NL/BE","Phrase - Competitor","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","Ehsan - Generic Search_Dutch_NL/BE","Exact","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","Remarketing","Add payment info","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor anni rolfi","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor blom kousen","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor calzedonia","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor falke","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","S | General | NL","competitor hedoïne","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Female","Ehsan - Generic Search_Dutch_NL/BE","Broad","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
