Quarter	Ad group status	Ad group	Campaign	Currency code	Default max. CPC	Target CPA	Target ROAS	Status	Status reasons	Ad group type	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Brand inclusions	Locations of interest	Conv. (Platform comparable)	Cost/Conv. (Platform comparable)	Conv. value/Cost (platform comparable)	Clicks	Conv. rate	Conv. value	Conv. value / cost	Conversions	Avg. CPC	Cost / conv.	Original conv. value
Current Quarter	Enabled	All Products	Sh | General | NL	EUR	1.00 (enhanced)	--	--	Not eligible	campaign paused; unknown	Shopping – Product	EUR	18	2911	44	0.0151	1.19	52.41	[]	[]	0	0	0	44	0	0	0	0	1.19	0	0
Current Quarter	Enabled	panty does not break	S | General | NL	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	93.26	4636	232	0.05	1.86	432.35	[]	[]	0	0	0	232	0.0323	344.58	0.8	7.5	1.86	57.65	344.58
Current Quarter	Enabled	tights anti ladder	S | General | EU | EN	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	38.51	3921	194	0.0495	0.78	150.99	[]	[]	0	0	0	194	0.0155	123.96	0.82	3	0.78	50.33	123.96
Current Quarter	Enabled	Exact	ADa_Brand_NL	EUR	--	--	--	Eligible	unknown	Standard	EUR	23.07	62	18	0.2903	0.08	1.43	[]	[]	0	0	0	18	0.2778	174.75	122.16	5	0.08	0.29	174.75
Current Quarter	Enabled	Brand	S | Brand | EU | EN	EUR	--	--	--	Not eligible	campaign paused; unknown	Standard	EUR	110.33	27	11	0.4074	0.27	2.98	[]	[]	0	0	0	11	0	0	0	0	0.27	0	0
Current Quarter	Enabled	tights does not break	S | General | EU | EN	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	54.74	7439	424	0.057	0.96	407.19	[]	[]	0	0	0	424	0.004699999999999999	91.15	0.22	2	0.96	203.6	91.15
Current Quarter	Enabled	panty strong	S | General | NL	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	79.76	3130	119	0.038	2.1	249.66	[]	[]	0	0	0	119	0	0	0	0	2.1	0	0
Current Quarter	Enabled	tights anti ladder	S | General | UK	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	64.89	599	31	0.0518	1.25	38.87	[]	[]	0	0	0	31	0.0323	32.45	0.83	1	1.25	38.87	32.45
Current Quarter	Enabled	Phrase	ADa_Brand_NL	EUR	--	--	--	Eligible	unknown	Standard	EUR	90.87	23	3	0.1304	0.7	2.09	[]	[]	0	0	0	3	0	0	0	0	0.7	0	0
Current Quarter	Enabled	All Products	DGen | EN	EUR	--	--	--	Not eligible	campaign paused; unknown	--	EUR	0.72	446413	1440	0.0032	0.22	322.04	[]	"[geo_target_criterion_id: 	 2578
localized_full_name: ""Norway""
name: ""Norway""
country_code: ""NO""
, geo_target_criterion_id: 	 2276
localized_full_name: ""Germany""
name: ""Germany""
country_code: ""DE""
, geo_target_criterion_id: 	 2616
localized_full_name: ""Poland""
name: ""Poland""
country_code: ""PL""
, geo_target_criterion_id: 	 2442
localized_full_name: ""Luxembourg""
name: ""Luxembourg""
country_code: ""LU""
, geo_target_criterion_id: 	 2703
localized_full_name: ""Slovakia""
name: ""Slovakia""
country_code: ""SK""
, geo_target_criterion_id: 	 2250
localized_full_name: ""France""
name: ""France""
country_code: ""FR""
, geo_target_criterion_id: 	 2756
localized_full_name: ""Switzerland""
name: ""Switzerland""
country_code: ""CH""
, geo_target_criterion_id: 	 2620
localized_full_name: ""Portugal""
name: ""Portugal""
country_code: ""PT""
, geo_target_criterion_id: 	 2208
localized_full_name: ""Denmark""
name: ""Denmark""
country_code: ""DK""
, geo_target_criterion_id: 	 2724
localized_full_name: ""Spain""
name: ""Spain""
country_code: ""ES""
, geo_target_criterion_id: 	 2056
localized_full_name: ""Belgium""
name: ""Belgium""
country_code: ""BE""
, geo_target_criterion_id: 	 2380
localized_full_name: ""Italy""
name: ""Italy""
country_code: ""IT""
, geo_target_criterion_id: 	 2040
localized_full_name: ""Austria""
name: ""Austria""
country_code: ""AT""
, geo_target_criterion_id: 	 2246
localized_full_name: ""Finland""
name: ""Finland""
country_code: ""FI""
, geo_target_criterion_id: 	 2528
localized_full_name: ""Netherlands""
name: ""Netherlands""
country_code: ""NL""
, geo_target_criterion_id: 	 2203
localized_full_name: ""Czechia""
name: ""Czechia""
country_code: ""CZ""
, geo_target_criterion_id: 	 2705
localized_full_name: ""Slovenia""
name: ""Slovenia""
country_code: ""SI""
, geo_target_criterion_id: 	 2752
localized_full_name: ""Sweden""
name: ""Sweden""
country_code: ""SE""
]"	1	322.04	0.17	1418	0	0	0	0	0.23	0	0
