Quarter	Device	Level	Campaign	Ad group	Bid adj.	Ad group bid adj.	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Mobile Phones	Campaign	ADa_Pants_NL	--	--	None	EUR	13.52	22146	1080	0.0488	0.28	299.51	0.0019	2	149.76
Current Quarter	Computers	Campaign	ADa_Pants_NL	--	--	None	EUR	17.11	1431	23	0.0161	1.06	24.48	0	0	0
Current Quarter	Mobile Phones	Campaign	S | General | EU | EN	--	--	None	EUR	44.31	10833	594	0.0548	0.81	479.98	0.0067	4	120
Current Quarter	Tablets	Campaign	S | General | EU | EN	--	--	None	EUR	69.75	122	11	0.0902	0.77	8.51	0	0	0
Current Quarter	Computers	Campaign	S | General | EU | EN	--	--	None	EUR	61.31	2574	126	0.049	1.25	157.8	0.0159	2	78.9
Current Quarter	Computers	Campaign	PMax | Rem | US | EN	--	--	None	EUR	25.26	1152	22	0.0191	1.32	29.1	0	0	0
Current Quarter	Mobile Phones	Campaign	PMax | Rem | US | EN	--	--	None	EUR	12	4150	63	0.0152	0.79	49.81	0.0159	1	49.81
Current Quarter	Tablets	Campaign	PMax | Rem | US | EN	--	--	None	EUR	5.69	153	2	0.0131	0.44	0.87	0	0	0
Current Quarter	Computers	Campaign	PMax | Rem | CA | EN	--	--	None	EUR	5.8	782	7	0.009000000000000001	0.65	4.53	0	0	0
Current Quarter	Mobile Phones	Campaign	PMax | Rem | AU-NZ | EN	--	--	None	EUR	21.93	2171	103	0.0474	0.46	47.62	0	0	0
Current Quarter	Computers	Campaign	PMax | Rem | AU-NZ | EN	--	--	None	EUR	16.6	1085	22	0.0203	0.82	18.01	0	0	0
Current Quarter	TV screens	Campaign	PMax | Rem | CA | EN	--	--	None	EUR	3.14	1	0	0	0	0	0	0	0
Current Quarter	Mobile Phones	Campaign	PMax | Rem | CA | EN	--	--	None	EUR	10.12	1527	107	0.0701	0.14	15.45	0	0	0
Current Quarter	Tablets	Campaign	PMax | Rem | AU-NZ | EN	--	--	None	EUR	10.9	201	6	0.0299	0.37	2.19	0	0	0
Current Quarter	Tablets	Campaign	PMax | Rem | CA | EN	--	--	None	EUR	7.13	150	3	0.02	0.36	1.07	0	0	0
Current Quarter	Mobile Phones	Campaign	S | Brand | EU | EN	--	--	None	EUR	37.03	15	6	0.4	0.09	0.56	0	0	0
Current Quarter	Mobile Phones	Campaign	S | Brand | EU | FR	--	--	None	EUR	487.5	4	2	0.5	0.98	1.95	0	0	0
Current Quarter	Computers	Campaign	S | Brand | EU | FR	--	--	None	EUR	10	1	1	1	0.01	0.01	0	0	0
Current Quarter	Tablets	Campaign	S | Brand | EU | EN	--	--	None	EUR	443.44	1	1	1	0.44	0.44	0	0	0
Current Quarter	Computers	Campaign	S | Brand | EU | EN	--	--	None	EUR	180	11	4	0.3636	0.5	1.98	0	0	0
Current Quarter	Tablets	Campaign	PMax | Rem | DE	--	--	None	EUR	14.15	2940	136	0.0463	0.31	41.6	0.0147	2	20.8
Current Quarter	Computers	Campaign	PMax | Rem | DE	--	--	None	EUR	4.42	24278	450	0.0185	0.24	107.35	0.0044	2	53.68
Current Quarter	Mobile Phones	Campaign	PMax | Rem | DE	--	--	None	EUR	20.26	30499	1439	0.0472	0.43	617.85	0.0063	9	68.65
Current Quarter	TV screens	Campaign	PMax | Rem | DE	--	--	None	EUR	6.33	95	46	0.4842	0.01	0.6	0	0	0
Current Quarter	Mobile Phones	Campaign	ADa_Panty_NL	--	--	None	EUR	13.37	23670	1444	0.061	0.22	316.45	0.0028	4	79.11
Current Quarter	Computers	Campaign	ADa_Panty_NL	--	--	None	EUR	18.01	1015	14	0.0138	1.31	18.28	0	0	0
