Quarter	Day of the week	Hour of the day	Campaign	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Wednesday	16	S | Brand | NL	EUR	10	1	1	1	0.01	0.01	0	0	0
Current Quarter	Tuesday	15	S | Brand | NL	EUR	2.5	8	2	0.25	0.01	0.02	0	0	0
Current Quarter	Wednesday	7	PMax | Rem | DE	EUR	26.15	182	9	0.0495	0.53	4.76	0	0	0
Current Quarter	Sunday	18	PMax | Rem | DE	EUR	10.9	901	31	0.0344	0.32	9.82	0	0	0
Current Quarter	Wednesday	6	PMax | Rem | UK	EUR	1.13	11	1	0.0909	0.01	0.01	0	0	0
Current Quarter	Wednesday	22	PMax | Rem | UK	EUR	18.94	191	4	0.0209	0.9	3.62	0	0	0
Current Quarter	Sunday	0	PMax | Rem | UK	EUR	57.37	68	5	0.0735	0.78	3.9	0	0	0
Current Quarter	Friday	9	PMAX | shopping | EU | EN	EUR	0.34	197	1	0.0051	0.07	0.07	0	0	0
Current Quarter	Friday	19	DGen | EN	EUR	0.33	3613	8	0.0022	0.15	1.21	0	0	0
Current Quarter	Thursday	23	DGen | EN	EUR	0.37	3583	18	0.005	0.07	1.34	0	0	0
Current Quarter	Tuesday	19	DGen | EN	EUR	1.25	3140	10	0.0032	0.39	3.92	0	0	0
Current Quarter	Saturday	23	PMax | Rem | US | EN	EUR	237.3	37	3	0.08109999999999999	2.93	8.78	0.3333	1	8.78
Current Quarter	Tuesday	17	PMax | Rem | US | EN	EUR	104.29	78	2	0.0256	4.07	8.13	0	0	0
Current Quarter	Monday	4	PMax | Rem | US | EN	EUR	16.86	35	1	0.0286	0.59	0.59	0	0	0
Current Quarter	Thursday	23	ADa_Panty_NL	EUR	5.52	111	9	0.08109999999999999	0.07	0.61	0	0	0
Current Quarter	Monday	23	ADa_Panty_NL	EUR	14.92	106	6	0.0566	0.26	1.58	0	0	0
Current Quarter	Monday	11	S | Brand | EU | DE	EUR	5	2	1	0.5	0.01	0.01	0	0	0
Current Quarter	Friday	2	PMax | Rem | NL | New	EUR	76.15	100	6	0.06	1.27	7.62	0.1667	1	7.62
Current Quarter	Wednesday	1	PMax | Rem | NL | New	EUR	24.21	165	8	0.04849999999999999	0.5	3.99	0	0	0
Current Quarter	Tuesday	12	PMax | Rem | NL | New	EUR	17.36	595	57	0.0958	0.18	10.33	0	0	0
