Ad group report
1 January 2026 - 26 March 2026
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Target ROAS,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (Platform comparable),Cost/Conv. (Platform comparable),Conv. value/Cost (platform comparable),Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Enabled,competitor oroblu,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor calzedonia,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,strumpfhosen stippen,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Brand,S | Brand | EU | DE,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,29.57,95,33,34.74%,0.09,2.81,[],[],0.00,0,0.00,33,12.12%,317.29,112.97,4.00,0.09,0.70,317.29
Enabled,panty onverwoestbare,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,145.97,"2,088",115,5.51%,2.65,304.78,[],[],0.00,0,0.00,115,6.09%,459.83,1.51,7.00,2.65,43.54,459.83
Paused,tights black,S | General | EU | EN,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor hema,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor heist studios,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty strong,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,79.76,"3,130",119,3.80%,2.10,249.66,[],[],0.00,0,0.00,119,0.00%,0.00,0.00,0.00,2.10,0.00,0.00
Enabled,competitor kunert,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
