Matched locations report
1 January 2026 - 26 March 2026
Matched location,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Finland,157,"14,598",1.08%,EUR,0.47,73.23,0.84%,2.00,36.61
Australia,37,"2,409",1.54%,EUR,1.47,54.51,0.00%,0.00,0.00
United Kingdom,490,"19,580",2.50%,EUR,0.75,369.22,0.65%,6.00,61.54
North Macedonia,8,231,3.46%,EUR,0.52,4.19,0.00%,0.00,0.00
Greece,56,"1,399",4.00%,EUR,0.95,53.33,0.00%,0.00,0.00
Bosnia and Herzegovina,28,516,5.43%,EUR,0.50,13.95,0.00%,0.00,0.00
Germany,"2,160","89,998",2.40%,EUR,0.41,891.23,0.74%,19.00,46.91
Moldova,9,216,4.17%,EUR,0.90,8.07,0.00%,0.00,0.00
Lithuania,33,453,7.28%,EUR,0.50,16.56,0.00%,0.00,0.00
Bulgaria,38,535,7.10%,EUR,0.39,14.79,0.00%,0.00,0.00
Canada,38,"2,460",1.54%,EUR,0.55,21.05,0.00%,0.00,0.00
Norway,124,"24,624",0.50%,EUR,0.38,47.33,0.00%,0.00,0.00
Spain,322,"55,887",0.58%,EUR,0.37,119.15,0.11%,1.00,119.15
Hungary,205,"10,311",1.99%,EUR,0.67,136.91,0.00%,0.00,0.00
New Zealand,16,"1,048",1.53%,EUR,0.83,13.31,0.00%,0.00,0.00
Denmark,128,"10,571",1.21%,EUR,1.23,156.80,0.65%,1.00,156.80
United States,54,"5,455",0.99%,EUR,1.48,79.78,1.15%,1.00,79.78
Poland,347,"84,538",0.41%,EUR,0.27,92.86,0.00%,0.00,0.00
Austria,21,"10,719",0.20%,EUR,0.67,14.01,0.00%,0.00,0.00
Kosovo,6,95,6.32%,EUR,0.52,3.11,0.00%,0.00,0.00
Latvia,24,332,7.23%,EUR,0.80,19.09,0.00%,0.00,0.00
Estonia,33,506,6.52%,EUR,0.67,22.13,0.00%,0.00,0.00
Slovakia,215,"39,668",0.54%,EUR,0.38,81.38,0.16%,1.00,81.38
Albania,6,137,4.38%,EUR,0.65,3.92,0.00%,0.00,0.00
Czechia,151,"38,540",0.39%,EUR,0.21,31.21,0.00%,0.00,0.00
Montenegro,5,77,6.49%,EUR,0.26,1.28,0.00%,0.00,0.00
Switzerland,215,"25,270",0.85%,EUR,0.57,122.03,0.32%,1.00,122.03
Croatia,54,612,8.82%,EUR,0.48,26.05,0.00%,0.00,0.00
Romania,228,"17,999",1.27%,EUR,0.47,106.77,0.00%,0.00,0.00
Serbia,20,327,6.12%,EUR,0.48,9.52,0.00%,0.00,0.00
Netherlands,"5,565","172,039",3.23%,EUR,0.60,3328.41,1.16%,99.00,33.62
France,244,"44,548",0.55%,EUR,0.33,80.86,0.00%,0.00,0.00
Portugal,141,"28,112",0.50%,EUR,0.34,47.24,0.69%,1.00,47.24
Belgium,344,"27,718",1.24%,EUR,1.21,416.00,1.12%,14.00,29.71
Luxembourg,11,"4,403",0.25%,EUR,0.13,1.46,0.00%,0.00,0.00
Sweden,210,"24,961",0.84%,EUR,0.54,112.48,0.74%,2.00,56.24
Slovenia,156,"25,314",0.62%,EUR,0.28,43.49,0.00%,0.00,0.00
Italy,371,"39,507",0.94%,EUR,0.33,121.13,0.42%,3.00,40.38
Total: Locations,"12,270","825,713",1.49%,EUR,0.55,6757.84,0.74%,151.00,44.75
Total: Account,"12,270","825,713",1.49%,EUR,0.55,6757.84,0.74%,151.00,44.75
Total: Demand Gen,"1,418","446,413",0.32%,EUR,0.23,322.04,0.00%,0.00,0.00
Total: Display,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Total: Smart,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Total: Performance Max,"9,072","348,487",2.60%,EUR,0.48,4354.91,0.42%,73.25,59.45
Total: Search,"1,736","27,902",6.22%,EUR,1.17,2028.48,4.48%,77.75,26.09
Total: Shopping,44,"2,911",1.51%,EUR,1.19,52.41,0.00%,0.00,0.00
