Matched locations report
1 October 2025 - 31 December 2025
Matched location,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Bulgaria,26,485,5.36%,EUR,0.44,11.47,3.85%,1.00,11.47
Sweden,346,"39,567",0.87%,EUR,0.35,120.89,0.69%,3.00,40.30
Moldova,2,38,5.26%,EUR,0.55,1.10,0.00%,0.00,0.00
Finland,213,"13,850",1.54%,EUR,0.46,98.56,1.85%,5.00,19.71
Lithuania,65,722,9.00%,EUR,0.36,23.26,0.00%,0.00,0.00
Greece,23,510,4.51%,EUR,0.39,8.94,0.00%,0.00,0.00
United Kingdom,"3,092","296,694",1.04%,EUR,0.45,1398.92,0.57%,33.00,42.39
Germany,"2,066","96,539",2.14%,EUR,0.83,1706.60,0.69%,25.00,68.26
Kosovo,2,40,5.00%,EUR,1.57,3.15,0.00%,0.00,0.00
Bosnia and Herzegovina,5,120,4.17%,EUR,1.08,5.39,0.00%,0.00,0.00
Denmark,148,"10,527",1.41%,EUR,0.54,80.20,1.67%,3.00,26.73
North Macedonia,1,71,1.41%,EUR,0.59,0.59,0.00%,0.00,0.00
Albania,6,156,3.85%,EUR,0.35,2.07,0.00%,0.00,0.00
Estonia,63,923,6.83%,EUR,0.59,37.03,0.00%,0.00,0.00
Spain,"2,385","397,482",0.60%,EUR,0.11,253.35,0.19%,5.00,50.67
Portugal,24,377,6.37%,EUR,0.72,17.35,8.33%,2.00,8.68
France,"2,738","165,583",1.65%,EUR,0.27,742.60,0.13%,5.00,148.52
Belgium,"1,196","51,740",2.31%,EUR,0.91,1088.70,3.84%,91.00,11.96
Austria,115,"2,027",5.67%,EUR,2.27,261.02,4.35%,5.00,52.20
Croatia,34,529,6.43%,EUR,0.38,12.92,0.00%,0.00,0.00
Switzerland,278,"9,086",3.06%,EUR,0.85,235.96,2.95%,13.00,18.15
Romania,915,"119,541",0.77%,EUR,0.26,240.58,0.05%,1.00,240.58
Montenegro,6,82,7.32%,EUR,0.48,2.88,0.00%,0.00,0.00
Poland,"1,260","42,822",2.94%,EUR,0.14,181.41,0.00%,0.00,0.00
Serbia,11,332,3.31%,EUR,0.43,4.75,0.00%,0.00,0.00
Latvia,65,762,8.53%,EUR,0.43,27.84,0.00%,0.00,0.00
Czechia,68,"7,586",0.90%,EUR,0.36,24.41,0.00%,0.00,0.00
Norway,221,"36,724",0.60%,EUR,0.32,70.33,0.77%,2.00,35.17
Netherlands,"12,724","290,047",4.39%,EUR,0.41,5203.58,2.06%,300.00,17.35
Hungary,332,"34,146",0.97%,EUR,0.36,119.03,0.00%,0.00,0.00
Slovenia,32,494,6.48%,EUR,0.46,14.65,0.00%,0.00,0.00
Italy,"1,855","235,584",0.79%,EUR,0.14,259.20,0.22%,5.00,51.84
Slovakia,100,"13,489",0.74%,EUR,0.35,34.84,0.21%,1.00,34.84
Total: Locations,"30,417","1,868,675",1.63%,EUR,0.40,12293.56,1.17%,500.00,24.59
Total: Account,"30,417","1,868,675",1.63%,EUR,0.40,12293.56,1.17%,500.00,24.59
Total: Display,207,"23,083",0.90%,EUR,1.54,318.10,0.51%,2.00,159.05
Total: Demand Gen,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Total: Smart,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Total: Shopping,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Total: Search,"5,485","61,479",8.92%,EUR,0.96,5257.05,5.93%,325.32,16.16
Total: Performance Max,"24,725","1,784,113",1.39%,EUR,0.27,6718.40,0.47%,172.68,38.91
