Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,11,S | General | UK,EUR,71.24,96,8,8.33%,0.85,6.84,12.50%,1.00,6.84
Saturday,23,S | General | UK,EUR,115.00,68,11,16.18%,0.71,7.82,0.00%,0.00,0.00
Tuesday,2,S | General | UK,EUR,31.54,13,1,7.69%,0.41,0.41,0.00%,0.00,0.00
Tuesday,3,S | General | UK,EUR,115.00,8,1,12.50%,0.92,0.92,0.00%,0.00,0.00
Tuesday,16,S | General | UK,EUR,48.73,61,4,6.56%,0.74,2.97,0.00%,0.00,0.00
Friday,8,S | Brand | EU | DE,EUR,157.14,14,3,21.43%,0.73,2.20,0.00%,0.00,0.00
Wednesday,12,S | Brand | EU | DE,EUR,0.53,19,1,5.26%,0.01,0.01,0.00%,0.00,0.00
Sunday,10,S | Brand | EU | DE,EUR,1955.65,23,2,8.70%,22.49,44.98,0.00%,0.00,0.00
Friday,0,PMax | Rem | NL | New,EUR,5.27,623,37,5.94%,0.09,3.29,0.00%,0.00,0.00
Wednesday,14,PMax | Rem | NL | New,EUR,8.86,"2,069",100,4.83%,0.18,18.34,1.67%,1.67,11.00
Tuesday,2,PMax | Rem | NL | New,EUR,7.43,235,18,7.66%,0.10,1.75,0.00%,0.00,0.00
Friday,1,S | General | EU | EN,EUR,90.77,26,1,3.85%,2.36,2.36,0.00%,0.00,0.00
Friday,2,S | General | EU | EN,EUR,35.94,18,1,5.56%,0.65,0.65,0.00%,0.00,0.00
Wednesday,6,S | General | EU | EN,EUR,68.85,40,5,12.50%,0.55,2.75,0.00%,0.00,0.00
Wednesday,14,S | General | EU | EN,EUR,22.10,78,5,6.41%,0.34,1.72,0.00%,0.00,0.00
Tuesday,1,S | General | EU | EN,EUR,66.83,17,4,23.53%,0.28,1.14,0.00%,0.00,0.00
Sunday,4,S | General | EU | EN,EUR,21.25,8,1,12.50%,0.17,0.17,0.00%,0.00,0.00
Thursday,9,Rem | EU | DE,EUR,0.09,34,1,2.94%,0.00,0.00,0.00%,0.00,0.00
Thursday,12,Rem | EU | DE,EUR,96.42,34,2,5.88%,1.64,3.28,0.00%,0.00,0.00
Saturday,20,Rem | NL,EUR,18.91,137,3,2.19%,0.86,2.59,0.00%,0.00,0.00
Friday,17,Rem | NL,EUR,8.30,210,2,0.95%,0.87,1.74,0.00%,0.00,0.00
Sunday,6,Rem | NL,EUR,8.38,39,1,2.56%,0.33,0.33,0.00%,0.00,0.00
Tuesday,22,PMax | Rem | FR,EUR,15.09,319,25,7.84%,0.19,4.81,0.00%,0.00,0.00
Monday,19,PMax | Rem | FR,EUR,8.37,267,13,4.87%,0.17,2.24,0.00%,0.00,0.00
Sunday,1,PMax | Rem | FR,EUR,2.66,123,7,5.69%,0.05,0.33,0.00%,0.00,0.00
Saturday,22,S | General | NL,EUR,48.98,226,10,4.42%,1.11,11.07,0.00%,0.00,0.00
Thursday,19,S | General | NL,EUR,53.52,165,11,6.67%,0.80,8.83,0.00%,0.00,0.00
Wednesday,0,S | General | NL,EUR,93.33,51,1,1.96%,4.76,4.76,0.00%,0.00,0.00
Wednesday,5,S | General | NL,EUR,109.37,25,3,12.00%,0.91,2.73,0.00%,0.00,0.00
Wednesday,8,S | General | NL,EUR,93.50,208,13,6.25%,1.50,19.45,30.77%,4.00,4.86
Wednesday,9,S | General | NL,EUR,78.04,245,13,5.31%,1.47,19.12,0.00%,0.00,0.00
Friday,7,S | General | EU | DE,EUR,365.04,56,5,8.93%,4.09,20.44,0.00%,0.00,0.00
Friday,10,S | General | EU | DE,EUR,102.92,79,6,7.59%,1.36,8.13,0.00%,0.00,0.00
Friday,11,S | General | EU | DE,EUR,30.17,87,3,3.45%,0.87,2.62,0.00%,0.00,0.00
Thursday,0,S | General | EU | DE,EUR,49.29,14,1,7.14%,0.69,0.69,0.00%,0.00,0.00
Thursday,19,S | General | EU | DE,EUR,45.53,47,2,4.26%,1.07,2.14,0.00%,0.00,0.00
Monday,12,S | General | EU | DE,EUR,92.50,36,2,5.56%,1.67,3.33,0.00%,0.00,0.00
Thursday,1,PMax | Rem | EU | EN,EUR,9.29,280,40,14.29%,0.07,2.60,0.00%,0.00,0.00
Thursday,20,PMax | Rem | EU | EN,EUR,8.13,"1,931",113,5.85%,0.14,15.71,0.88%,1.00,15.71
Sunday,1,PMax | Rem | EU | EN,EUR,3.63,422,31,7.35%,0.05,1.53,0.00%,0.00,0.00
Sunday,19,PMax | Rem | EU | EN,EUR,6.16,"2,202",126,5.72%,0.11,13.56,0.00%,0.00,0.00
Friday,16,S | General | EU | FR,EUR,50.00,10,1,10.00%,0.50,0.50,0.00%,0.00,0.00
Thursday,2,S | General | EU | FR,EUR,114.90,3,1,33.33%,0.34,0.34,0.00%,0.00,0.00
Wednesday,19,S | General | EU | FR,EUR,237.76,14,3,21.43%,1.11,3.33,0.00%,0.00,0.00
