Gender report
1 October 2025 - 31 December 2025
Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,381.67,"1,031",96,9.31%,4.10,393.50,11.46%,11.00,35.77
Enabled,Unknown,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty anti ladder,Campaign paused, --,EUR,105.53,"2,209",168,7.61%,1.39,233.12,3.27%,5.50,42.39
Enabled,Unknown,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,55.51,"1,583",120,7.58%,0.73,87.87,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty stippen,Campaign paused, --,EUR,55.25,"3,988",163,4.09%,1.35,220.35,4.19%,6.83,32.25
Removed,Male,S | General | NL,competitor snag tights,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor anni rolfi,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 80 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty stippen,Campaign paused, --,EUR,38.60,"2,434",77,3.16%,1.22,93.95,7.14%,5.50,17.08
Enabled,Female,S | General | NL,panty ladder resist,Campaign paused, --,EUR,60.33,120,7,5.83%,1.03,7.24,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,151.30,"1,766",171,9.68%,1.56,267.20,7.60%,13.00,20.55
Enabled,Unknown,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty anti ladder best,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty does not break,Campaign paused, --,EUR,101.92,"7,215",579,8.02%,1.27,735.38,4.28%,24.78,29.67
Enabled,Female,S | General | NL,panty strong,Campaign paused, --,EUR,83.79,502,42,8.37%,1.00,42.06,1.19%,0.50,84.12
Enabled,Unknown,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,71.89,53,2,3.77%,1.91,3.81,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,119.76,"1,087",120,11.04%,1.08,130.18,3.61%,4.33,30.04
Enabled,Female,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty strong,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor marcmarcs,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor blom kousen,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,53.58,76,4,5.26%,1.02,4.07,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor zeeman,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 30 dernier plus size,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor heist studios,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor kunert,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor calzedonia,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | FR,Collants solides,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty stippen,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor hema,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder,Campaign paused, --,EUR,59.35,"1,575",102,6.48%,0.92,93.48,2.94%,3.00,31.16
Enabled,Unknown,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor kruidvat,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty onverwoestbare,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty does not break,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,103.87,"1,623",164,10.10%,1.03,168.59,0.61%,1.00,168.59
Enabled,Unknown,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 30 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty anti ladder,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor hedoïne,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty zwarte,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty strong,Campaign paused, --,EUR,76.47,340,29,8.53%,0.90,26.00,6.90%,2.00,13.00
Enabled,Unknown,S | General | NL,panty does not break,Campaign paused, --,EUR,78.65,"4,397",349,7.94%,0.99,345.83,4.35%,15.17,22.80
Enabled,Female,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
